Region/City,Confirmed,Recovered,Deaths,Date,Day-Confirmed,Day-Deaths,Day-Recovered
Алтайский край,1554,692,10,2020-05-27,69.0,1.0,22.0
Амурская область,414,133,5,2020-05-27,13.0,0.0,20.0
Архангельская область,1410,474,5,2020-05-27,95.0,1.0,26.0
Астраханская область,1596,769,12,2020-05-27,38.0,1.0,51.0
Белгородская область,1980,716,15,2020-05-27,79.0,0.0,58.0
Брянская область,3254,1784,31,2020-05-27,98.0,0.0,103.0
Владимирская область,2434,426,17,2020-05-27,55.0,0.0,51.0
Волгоградская область,2470,781,16,2020-05-27,86.0,0.0,56.0
Вологодская область,774,276,5,2020-05-27,75.0,1.0,9.0
Воронежская область,1643,1235,14,2020-05-27,62.0,0.0,78.0
Еврейская автономная область,274,174,3,2020-05-27,2.0,0.0,6.0
Забайкальский край,938,447,17,2020-05-27,59.0,3.0,30.0
Ивановская область,1686,599,18,2020-05-27,47.0,0.0,48.0
Иркутская область,1376,271,10,2020-05-27,70.0,0.0,11.0
Кабардино-Балкарская Республика,2509,643,12,2020-05-27,87.0,4.0,41.0
Калининградская область,1338,587,21,2020-05-27,44.0,0.0,31.0
Калужская область,3560,1123,29,2020-05-27,101.0,2.0,105.0
Камчатский край,700,244,7,2020-05-27,22.0,1.0,0.0
Карачаево-Черкесская Республика,853,268,5,2020-05-27,39.0,1.0,6.0
Кемеровская область,444,170,7,2020-05-27,13.0,0.0,8.0
Кировская область,1438,836,10,2020-05-27,68.0,2.0,32.0
Костромская область,617,354,9,2020-05-27,16.0,1.0,46.0
Краснодарский край,3506,2257,29,2020-05-27,80.0,1.0,176.0
Красноярский край,3700,791,29,2020-05-27,142.0,1.0,36.0
Курганская область,192,85,0,2020-05-27,3.0,0.0,5.0
Курская область,2719,1198,9,2020-05-27,71.0,0.0,174.0
Ленинградская область,2609,1186,11,2020-05-27,56.0,0.0,71.0
Липецкая область,1836,588,5,2020-05-27,72.0,0.0,42.0
Магаданская область,228,155,3,2020-05-27,1.0,0.0,4.0
Москва,171443,67458,2183,2020-05-27,2140.0,73.0,5839.0
Московская область,35956,6440,359,2020-05-27,793.0,10.0,288.0
Мурманская область,3030,1676,7,2020-05-27,49.0,0.0,20.0
Ненецкий автономный округ,66,12,0,2020-05-27,2.0,0.0,2.0
Нижегородская область,8735,2905,78,2020-05-27,231.0,6.0,253.0
Новгородская область,1049,319,6,2020-05-27,46.0,1.0,19.0
Новосибирская область,2397,902,31,2020-05-27,97.0,1.0,10.0
Омская область,1139,288,18,2020-05-27,42.0,0.0,23.0
Оренбургская область,1718,1097,6,2020-05-27,54.0,0.0,70.0
Орловская область,2023,999,16,2020-05-27,81.0,0.0,46.0
Пензенская область,1980,1481,17,2020-05-27,88.0,2.0,116.0
Пермский край,1495,892,19,2020-05-27,44.0,3.0,66.0
Приморский край,1779,798,17,2020-05-27,44.0,0.0,92.0
Псковская область,629,268,10,2020-05-27,21.0,0.0,30.0
Республика Адыгея,759,307,9,2020-05-27,38.0,0.0,7.0
Республика Алтай,105,53,0,2020-05-27,1.0,0.0,1.0
Республика Башкортостан,2942,902,18,2020-05-27,91.0,0.0,18.0
Республика Бурятия,1313,635,8,2020-05-27,59.0,1.0,37.0
Республика Дагестан,4455,4161,130,2020-05-27,161.0,12.0,352.0
Республика Ингушетия,1906,784,47,2020-05-27,40.0,5.0,0.0
Республика Калмыкия,944,401,12,2020-05-27,41.0,0.0,18.0
Республика Карелия,353,135,1,2020-05-27,22.0,0.0,0.0
Республика Коми,1188,625,21,2020-05-27,44.0,1.0,33.0
Республика Крым,349,181,3,2020-05-27,3.0,0.0,17.0
Республика Марий Эл,1602,1217,10,2020-05-27,43.0,0.0,62.0
Республика Мордовия,1727,568,12,2020-05-27,43.0,0.0,15.0
Республика Саха (Якутия),1529,658,7,2020-05-27,84.0,0.0,25.0
Республика Северная Осетия - Алания,2755,1625,32,2020-05-27,53.0,0.0,55.0
Республика Татарстан,2966,2226,9,2020-05-27,54.0,0.0,134.0
Республика Тыва,818,80,1,2020-05-27,58.0,0.0,23.0
Республика Хакасия,856,489,10,2020-05-27,20.0,0.0,24.0
Республика Чувашия,2545,922,12,2020-05-27,73.0,1.0,157.0
Ростовская область,4133,1441,34,2020-05-27,203.0,0.0,87.0
Рязанская область,3206,789,7,2020-05-27,81.0,0.0,87.0
Самарская область,2340,761,17,2020-05-27,135.0,0.0,92.0
Санкт-Петербург,14463,4458,158,2020-05-27,387.0,8.0,714.0
Саратовская область,2649,861,30,2020-05-27,68.0,5.0,49.0
Сахалинская область,76,47,0,2020-05-27,2.0,0.0,0.0
Свердловская область,4425,1700,21,2020-05-27,235.0,1.0,201.0
Севастополь,160,121,3,2020-05-27,2.0,0.0,2.0
Смоленская область,1853,621,25,2020-05-27,84.0,4.0,40.0
Ставропольский край,2158,871,42,2020-05-27,72.0,1.0,59.0
Тамбовская область,2699,921,6,2020-05-27,77.0,0.0,35.0
Тверская область,1424,925,19,2020-05-27,46.0,2.0,26.0
Томская область,595,223,10,2020-05-27,31.0,0.0,20.0
Тульская область,3422,1457,24,2020-05-27,104.0,4.0,148.0
Тюменская область,1532,694,7,2020-05-27,42.0,0.0,45.0
Удмуртская Республика,559,367,12,2020-05-27,10.0,0.0,13.0
Ульяновская область,2121,586,7,2020-05-27,70.0,0.0,35.0
Хабаровский край,1827,803,10,2020-05-27,67.0,0.0,44.0
Ханты-Мансийский АО,1924,669,17,2020-05-27,75.0,0.0,34.0
Челябинская область,2286,988,13,2020-05-27,70.0,0.0,64.0
Чеченская Республика,1152,698,13,2020-05-27,19.0,0.0,8.0
Чукотский автономный округ,63,37,1,2020-05-27,2.0,0.0,1.0
Ямало-Ненецкий АО,2202,788,6,2020-05-27,51.0,0.0,30.0
Ярославская область,2808,616,13,2020-05-27,82.0,0.0,47.0
