Region/City,Confirmed,Date,Deaths,Recovered,Day-Confirmed,Day-Deaths,Day-Recovered
Алтайский край,2390.0,2020-06-08,14.0,1107.0,71.0,0.0,11.0
Амурская область,748.0,2020-06-08,5.0,252.0,46.0,0.0,0.0
Архангельская область,2989.0,2020-06-08,10.0,858.0,121.0,1.0,5.0
Астраханская область,2337.0,2020-06-08,22.0,1294.0,44.0,0.0,31.0
Белгородская область,2913.0,2020-06-08,27.0,1356.0,73.0,0.0,19.0
Брянская область,4458.0,2020-06-08,31.0,3021.0,94.0,0.0,104.0
Владимирская область,3151.0,2020-06-08,30.0,1225.0,62.0,0.0,27.0
Волгоградская область,4030.0,2020-06-08,23.0,1428.0,117.0,0.0,27.0
Вологодская область,1111.0,2020-06-08,11.0,542.0,27.0,0.0,10.0
Воронежская область,3065.0,2020-06-08,18.0,1699.0,228.0,0.0,7.0
Еврейская автономная область,347.0,2020-06-08,4.0,250.0,4.0,0.0,1.0
Забайкальский край,1551.0,2020-06-08,29.0,862.0,80.0,2.0,25.0
Ивановская область,2822.0,2020-06-08,22.0,1091.0,117.0,0.0,27.0
Иркутская область,2877.0,2020-06-08,16.0,815.0,85.0,0.0,36.0
Кабардино-Балкарская Республика,3424.0,2020-06-08,33.0,1649.0,76.0,2.0,24.0
Калининградская область,1813.0,2020-06-08,24.0,782.0,37.0,0.0,3.0
Калужская область,4600.0,2020-06-08,36.0,2119.0,89.0,0.0,22.0
Камчатский край,1168.0,2020-06-08,22.0,391.0,43.0,0.0,0.0
Карачаево-Черкесская Республика,1654.0,2020-06-08,9.0,453.0,74.0,1.0,35.0
Кемеровская область,752.0,2020-06-08,7.0,322.0,31.0,0.0,6.0
Кировская область,2260.0,2020-06-08,20.0,1206.0,78.0,0.0,20.0
Костромская область,926.0,2020-06-08,12.0,489.0,25.0,0.0,4.0
Краснодарский край,4485.0,2020-06-08,44.0,3311.0,86.0,1.0,22.0
Красноярский край,5460.0,2020-06-08,49.0,1570.0,159.0,0.0,76.0
Курганская область,306.0,2020-06-08,0.0,183.0,18.0,0.0,3.0
Курская область,3561.0,2020-06-08,16.0,1803.0,60.0,0.0,1.0
Ленинградская область,3238.0,2020-06-08,18.0,2221.0,50.0,0.0,67.0
Липецкая область,2637.0,2020-06-08,8.0,1018.0,60.0,0.0,24.0
Магаданская область,339.0,2020-06-08,3.0,211.0,12.0,0.0,3.0
Москва,197018.0,2020-06-08,2970.0,104347.0,2001.0,51.0,1633.0
Московская область,44983.0,2020-06-08,578.0,12031.0,751.0,11.0,569.0
Мурманская область,3576.0,2020-06-08,7.0,2480.0,46.0,0.0,3.0
Ненецкий автономный округ,80.0,2020-06-08,0.0,16.0,0.0,0.0,0.0
Нижегородская область,12442.0,2020-06-08,140.0,4878.0,305.0,4.0,41.0
Новгородская область,1734.0,2020-06-08,10.0,438.0,58.0,1.0,0.0
Новосибирская область,3648.0,2020-06-08,42.0,1386.0,102.0,1.0,17.0
Омская область,1776.0,2020-06-08,22.0,751.0,58.0,2.0,67.0
Оренбургская область,2397.0,2020-06-08,8.0,1642.0,66.0,0.0,6.0
Орловская область,2967.0,2020-06-08,32.0,1474.0,97.0,0.0,10.0
Пензенская область,3053.0,2020-06-08,26.0,2433.0,110.0,0.0,27.0
Пермский край,2202.0,2020-06-08,28.0,1394.0,67.0,0.0,24.0
Приморский край,2442.0,2020-06-08,23.0,1464.0,67.0,0.0,20.0
Псковская область,1269.0,2020-06-08,12.0,440.0,37.0,0.0,3.0
Республика Адыгея,1069.0,2020-06-08,10.0,606.0,44.0,0.0,29.0
