Region/City,Confirmed,Recovered,Deaths,Date,Day-Confirmed,Day-Deaths,Day-Recovered
Алтайский край,1325,636,7,2020-05-24,71.0,0.0,16.0
Амурская область,355,95,5,2020-05-24,15.0,4.0,0.0
Архангельская область,1020,426,4,2020-05-24,95.0,0.0,19.0
Астраханская область,1348,664,10,2020-05-24,50.0,2.0,18.0
Белгородская область,1736,588,13,2020-05-24,82.0,1.0,5.0
Брянская область,2951,1474,31,2020-05-24,111.0,0.0,58.0
Владимирская область,2253,320,16,2020-05-24,59.0,0.0,9.0
Волгоградская область,2207,698,15,2020-05-24,98.0,1.0,7.0
Вологодская область,643,251,4,2020-05-24,40.0,0.0,7.0
Воронежская область,1463,1010,14,2020-05-24,44.0,0.0,28.0
Еврейская автономная область,266,150,2,2020-05-24,3.0,0.0,37.0
Забайкальский край,758,381,12,2020-05-24,31.0,0.0,10.0
Ивановская область,1566,514,17,2020-05-24,61.0,0.0,5.0
Иркутская область,1078,225,9,2020-05-24,120.0,0.0,18.0
Кабардино-Балкарская Республика,2251,567,8,2020-05-24,80.0,0.0,7.0
Калининградская область,1201,534,18,2020-05-24,43.0,0.0,4.0
Калужская область,3246,884,26,2020-05-24,123.0,3.0,30.0
Камчатский край,627,244,6,2020-05-24,32.0,4.0,73.0
Карачаево-Черкесская Республика,757,243,4,2020-05-24,25.0,0.0,0.0
Кемеровская область,406,148,7,2020-05-24,15.0,0.0,6.0
Кировская область,1259,762,8,2020-05-24,68.0,1.0,18.0
Костромская область,567,294,8,2020-05-24,7.0,0.0,5.0
Краснодарский край,3247,1900,27,2020-05-24,92.0,0.0,41.0
Красноярский край,3265,708,28,2020-05-24,146.0,0.0,11.0
Курганская область,179,72,0,2020-05-24,2.0,0.0,4.0
Курская область,2507,904,8,2020-05-24,85.0,0.0,30.0
Ленинградская область,2437,1011,8,2020-05-24,57.0,0.0,38.0
Липецкая область,1633,534,5,2020-05-24,65.0,1.0,71.0
Магаданская область,223,143,3,2020-05-24,5.0,0.0,3.0
Москва,163913,49840,1993,2020-05-24,2516.0,59.0,2427.0
