Region/City,Confirmed,Date,Deaths,Recovered,Day-Confirmed,Day-Deaths,Day-Recovered
Алтайский край,1325.0,2020-05-24,7.0,636.0,71.0,0.0,16.0
Амурская область,355.0,2020-05-24,5.0,95.0,15.0,4.0,0.0
Архангельская область,1020.0,2020-05-24,4.0,426.0,95.0,0.0,19.0
Астраханская область,1348.0,2020-05-24,10.0,664.0,50.0,2.0,18.0
Белгородская область,1736.0,2020-05-24,13.0,588.0,82.0,1.0,5.0
Брянская область,2951.0,2020-05-24,31.0,1474.0,111.0,0.0,58.0
Владимирская область,2253.0,2020-05-24,16.0,320.0,59.0,0.0,9.0
Волгоградская область,2207.0,2020-05-24,15.0,698.0,98.0,1.0,7.0
Вологодская область,643.0,2020-05-24,4.0,251.0,40.0,0.0,7.0
Воронежская область,1463.0,2020-05-24,16.0,1010.0,44.0,0.0,28.0
Еврейская автономная область,266.0,2020-05-24,2.0,150.0,3.0,0.0,37.0
Забайкальский край,758.0,2020-05-24,12.0,381.0,31.0,0.0,10.0
Ивановская область,1566.0,2020-05-24,17.0,514.0,61.0,0.0,5.0
Иркутская область,1194.0,2020-05-24,9.0,225.0,116.0,0.0,6.0
Кабардино-Балкарская Республика,2251.0,2020-05-24,8.0,567.0,80.0,0.0,7.0
Калининградская область,1201.0,2020-05-24,18.0,534.0,43.0,0.0,4.0
Калужская область,3246.0,2020-05-24,26.0,884.0,123.0,3.0,30.0
Камчатский край,627.0,2020-05-24,7.0,244.0,32.0,1.0,7.0
Карачаево-Черкесская Республика,757.0,2020-05-24,4.0,243.0,25.0,0.0,0.0
Кемеровская область,406.0,2020-05-24,7.0,148.0,15.0,0.0,6.0
Кировская область,1259.0,2020-05-24,8.0,762.0,68.0,1.0,18.0
Костромская область,567.0,2020-05-24,8.0,294.0,7.0,0.0,5.0
Краснодарский край,3247.0,2020-05-24,27.0,1900.0,92.0,0.0,41.0
Красноярский край,3265.0,2020-05-24,28.0,708.0,146.0,0.0,11.0
Курганская область,179.0,2020-05-24,0.0,72.0,2.0,0.0,4.0
Курская область,2507.0,2020-05-24,8.0,904.0,85.0,0.0,30.0
Ленинградская область,2437.0,2020-05-24,8.0,1011.0,57.0,0.0,38.0
Липецкая область,1633.0,2020-05-24,5.0,534.0,65.0,1.0,71.0
Магаданская область,223.0,2020-05-24,3.0,143.0,5.0,0.0,3.0
Москва,163913.0,2020-05-24,1993.0,49840.0,2516.0,59.0,2427.0
Московская область,33515.0,2020-05-24,329.0,5520.0,862.0,5.0,357.0
Мурманская область,2900.0,2020-05-24,7.0,1627.0,32.0,0.0,10.0
Нижегородская область,8047.0,2020-05-24,65.0,2398.0,221.0,5.0,141.0
Новгородская область,844.0,2020-05-24,8.0,268.0,60.0,0.0,7.0
Новосибирская область,2124.0,2020-05-24,29.0,891.0,81.0,2.0,9.0
Омская область,985.0,2020-05-24,18.0,228.0,60.0,1.0,36.0
Оренбургская область,1566.0,2020-05-24,5.0,927.0,42.0,0.0,47.0
Орловская область,1808.0,2020-05-24,12.0,841.0,68.0,2.0,37.0
Пензенская область,1709.0,2020-05-24,13.0,1239.0,97.0,0.0,93.0
Пермский край,1367.0,2020-05-24,14.0,756.0,43.0,0.0,50.0
Приморский край,1646.0,2020-05-24,15.0,610.0,51.0,0.0,26.0
Псковская область,566.0,2020-05-24,9.0,201.0,23.0,0.0,0.0
Республика Адыгея,671.0,2020-05-24,9.0,295.0,49.0,0.0,5.0
Республика Алтай,95.0,2020-05-24,0.0,47.0,3.0,0.0,1.0
Республика Башкортостан,2683.0,2020-05-24,18.0,832.0,81.0,0.0,39.0
Республика Бурятия,1209.0,2020-05-24,7.0,558.0,66.0,1.0,26.0
Республика Дагестан,4095.0,2020-05-24,84.0,3267.0,113.0,14.0,265.0
Республика Ингушетия,1778.0,2020-05-24,38.0,779.0,44.0,0.0,0.0
Республика Калмыкия,879.0,2020-05-24,11.0,350.0,23.0,0.0,6.0
Республика Карелия,300.0,2020-05-24,1.0,97.0,16.0,0.0,22.0
Республика Коми,1129.0,2020-05-24,19.0,556.0,24.0,0.0,15.0
Республика Крым,326.0,2020-05-24,3.0,153.0,2.0,0.0,1.0
Республика Марий Эл,1479.0,2020-05-24,9.0,1076.0,41.0,1.0,7.0
Республика Мордовия,1612.0,2020-05-24,12.0,542.0,32.0,0.0,11.0
Республика Саха (Якутия),1276.0,2020-05-24,7.0,577.0,99.0,1.0,36.0
Республика Северная Осетия - Алания,2585.0,2020-05-24,27.0,1498.0,62.0,4.0,82.0
Республика Татарстан,2787.0,2020-05-24,9.0,1907.0,90.0,0.0,82.0
Республика Тыва,628.0,2020-05-24,1.0,57.0,52.0,0.0,0.0
Республика Хакасия,789.0,2020-05-24,10.0,429.0,11.0,0.0,3.0
Республика Чувашия,2290.0,2020-05-24,10.0,717.0,95.0,1.0,31.0
Ростовская область,3569.0,2020-05-24,34.0,1251.0,152.0,0.0,51.0
Рязанская область,2953.0,2020-05-24,7.0,566.0,88.0,0.0,18.0
Самарская область,2021.0,2020-05-24,16.0,636.0,121.0,1.0,58.0
Санкт-Петербург,13339.0,2020-05-24,133.0,3452.0,384.0,20.0,328.0
Саратовская область,2418.0,2020-05-24,20.0,761.0,97.0,2.0,62.0
Сахалинская область,68.0,2020-05-24,0.0,36.0,2.0,0.0,0.0
Свердловская область,3704.0,2020-05-24,16.0,1226.0,90.0,2.0,19.0
Севастополь,155.0,2020-05-24,2.0,114.0,1.0,0.0,1.0
Смоленская область,1603.0,2020-05-24,15.0,563.0,67.0,2.0,22.0
Ставропольский край,1932.0,2020-05-24,38.0,718.0,77.0,0.0,7.0
Тамбовская область,2475.0,2020-05-24,6.0,838.0,75.0,1.0,44.0
Тверская область,1310.0,2020-05-24,17.0,848.0,37.0,2.0,0.0
Томская область,507.0,2020-05-24,9.0,166.0,28.0,5.0,44.0
Тульская область,3102.0,2020-05-24,20.0,1200.0,97.0,0.0,11.0
Тюменская область,1411.0,2020-05-24,7.0,625.0,45.0,0.0,34.0
Удмуртская Республика,510.0,2020-05-24,12.0,324.0,18.0,0.0,1.0
Ульяновская область,1861.0,2020-05-24,6.0,498.0,97.0,0.0,36.0
